Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Integrations_ForcePop,Chrome 72.0.3626.119,ForcePop Regression,2019-03-01 09:35:29,2019-03-01 09:38:36,3m - 6.912s,PASSED
,,,,,,
Test Cases/Regression,Chrome 72.0.3626.119,,2019-03-01 09:35:29,2019-03-01 09:38:36,3m - 6.478s,PASSED
"url = findTestData(""IntegrationsInputData"").getValue(""url"", 1)",Chrome 72.0.3626.119,,2019-03-01 09:35:30,2019-03-01 09:35:31,0.888s,PASSED
"usr = findTestData(""IntegrationsInputData"").getValue(""user"", 1)",Chrome 72.0.3626.119,,2019-03-01 09:35:31,2019-03-01 09:35:31,0.059s,PASSED
"pwd = findTestData(""IntegrationsInputData"").getValue(""password"", 1)",Chrome 72.0.3626.119,,2019-03-01 09:35:31,2019-03-01 09:35:31,0.073s,PASSED
"msg = findTestData(""IntegrationsInputData"").getValue(""sendMsg"", 1)",Chrome 72.0.3626.119,,2019-03-01 09:35:31,2019-03-01 09:35:31,0.098s,PASSED
"dbip = findTestData(""IntegrationsInputData"").getValue(""dbIP"", 1)",Chrome 72.0.3626.119,,2019-03-01 09:35:31,2019-03-01 09:35:31,0.031s,PASSED
"dbport = findTestData(""IntegrationsInputData"").getValue(""dbPort"", 1)",Chrome 72.0.3626.119,,2019-03-01 09:35:31,2019-03-01 09:35:31,0.047s,PASSED
"dbgrp = findTestData(""IntegrationsInputData"").getValue(""dbGroup"", 1)",Chrome 72.0.3626.119,,2019-03-01 09:35:31,2019-03-01 09:35:31,0.109s,PASSED
"dbusr = findTestData(""IntegrationsInputData"").getValue(""dbUsr"", 1)",Chrome 72.0.3626.119,,2019-03-01 09:35:31,2019-03-01 09:35:31,0.078s,PASSED
"dbpwd = findTestData(""IntegrationsInputData"").getValue(""dbPwd"", 1)",Chrome 72.0.3626.119,,2019-03-01 09:35:31,2019-03-01 09:35:32,0.031s,PASSED
"dbqtblmain = findTestData(""IntegrationsInputData"").getValue(""dbQueryTBLMain"", 1)",Chrome 72.0.3626.119,,2019-03-01 09:35:32,2019-03-01 09:35:32,0.028s,PASSED
"dbqfullp = findTestData(""IntegrationsInputData"").getValue(""dbQueryFullPatient"", 1)",Chrome 72.0.3626.119,,2019-03-01 09:35:32,2019-03-01 09:35:32,0.048s,PASSED
"dbclntblmain = findTestData(""IntegrationsInputData"").getValue(""dbCleanTableMain"", 1)",Chrome 72.0.3626.119,,2019-03-01 09:35:32,2019-03-01 09:35:32,0.022s,PASSED
"dbclnfullp = findTestData(""IntegrationsInputData"").getValue(""dbCleanFullPatient"", 1)",Chrome 72.0.3626.119,,2019-03-01 09:35:32,2019-03-01 09:35:32,0.023s,PASSED
"openBrowser("""")",Chrome 72.0.3626.119,,2019-03-01 09:35:32,2019-03-01 09:35:35,3.402s,PASSED
navigateToUrl(url),Chrome 72.0.3626.119,,2019-03-01 09:35:35,2019-03-01 09:35:36,0.485s,PASSED
"setText(findTestObject(""Page_Integrations Dashboard/input_User name_UserName (1)""), usr)",Chrome 72.0.3626.119,,2019-03-01 09:35:36,2019-03-01 09:35:36,0.646s,PASSED
"setEncryptedText(findTestObject(""Page_Integrations Dashboard/input_Password_Password (1)""), pwd)",Chrome 72.0.3626.119,,2019-03-01 09:35:36,2019-03-01 09:35:37,0.376s,PASSED
maximizeWindow(),Chrome 72.0.3626.119,,2019-03-01 09:35:37,2019-03-01 09:35:37,0.436s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/input (1)""))",Chrome 72.0.3626.119,,2019-03-01 09:35:37,2019-03-01 09:35:38,1.292s,PASSED
delay(3),Chrome 72.0.3626.119,,2019-03-01 09:35:38,2019-03-01 09:35:41,3.030s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/a_Incoming Feeds""))",Chrome 72.0.3626.119,,2019-03-01 09:35:41,2019-03-01 09:35:41,0.207s,PASSED
"selectOptionByValue(findTestObject(""Page_Integrations Dashboard/select_ADTSIUDX            WEB""), ""19"", true)",Chrome 72.0.3626.119,,2019-03-01 09:35:41,2019-03-01 09:35:42,0.340s,PASSED
delay(2),Chrome 72.0.3626.119,,2019-03-01 09:35:42,2019-03-01 09:35:44,2.003s,PASSED
"setText(findTestObject(""Page_Integrations Dashboard/input_Feeds_interfaceSearchBox""), ""naka"")",Chrome 72.0.3626.119,,2019-03-01 09:35:44,2019-03-01 09:35:44,0.177s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/input_Feeds_interfaceSearchBut""))",Chrome 72.0.3626.119,,2019-03-01 09:35:44,2019-03-01 09:35:44,0.079s,PASSED
"rightClick(findTestObject(""Page_Integrations Dashboard/td_604""))",Chrome 72.0.3626.119,,2019-03-01 09:35:44,2019-03-01 09:35:45,0.627s,PASSED
delay(3),Chrome 72.0.3626.119,,2019-03-01 09:35:45,2019-03-01 09:35:48,3.002s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/span_View Interface""))",Chrome 72.0.3626.119,,2019-03-01 09:35:48,2019-03-01 09:35:48,0.114s,PASSED
delay(3),Chrome 72.0.3626.119,,2019-03-01 09:35:48,2019-03-01 09:35:51,3.023s,PASSED
"rightClick(findTestObject(""Page_Integrations Dashboard/td_ADT Demo - Integrations Sup""))",Chrome 72.0.3626.119,,2019-03-01 09:35:51,2019-03-01 09:35:51,0.109s,PASSED
delay(3),Chrome 72.0.3626.119,,2019-03-01 09:35:51,2019-03-01 09:35:54,3.002s,PASSED
"verifyElementPresent(findTestObject(""Page_Integrations Dashboard/span_Send Message""), 0)",Chrome 72.0.3626.119,,2019-03-01 09:35:54,2019-03-01 09:35:54,0.040s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/span_Send Message""))",Chrome 72.0.3626.119,,2019-03-01 09:35:54,2019-03-01 09:35:54,0.094s,PASSED
"setText(findTestObject(""Page_Integrations Dashboard/textarea_(collapse all)_messag""), msg)",Chrome 72.0.3626.119,,2019-03-01 09:35:54,2019-03-01 09:37:18,1m - 23.848s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/input_(select message text)_pa""))",Chrome 72.0.3626.119,,2019-03-01 09:37:18,2019-03-01 09:37:18,0.145s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/div_MSH.12 Version ID_thumb""))",Chrome 72.0.3626.119,,2019-03-01 09:37:18,2019-03-01 09:37:19,1.380s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/div_M_thumb""))",Chrome 72.0.3626.119,,2019-03-01 09:37:19,2019-03-01 09:37:20,0.141s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/div_Automation001""))",Chrome 72.0.3626.119,,2019-03-01 09:37:20,2019-03-01 09:37:20,0.111s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/input_(select message text)_se""))",Chrome 72.0.3626.119,,2019-03-01 09:37:20,2019-03-01 09:37:20,0.081s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/div_The message was sent succe""))",Chrome 72.0.3626.119,,2019-03-01 09:37:20,2019-03-01 09:37:20,0.625s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/input_(select message text)_cl""))",Chrome 72.0.3626.119,,2019-03-01 09:37:20,2019-03-01 09:37:21,0.222s,PASSED
"rightClick(findTestObject(""Page_Integrations Dashboard/td_ADT Demo - Integrations Sup""))",Chrome 72.0.3626.119,,2019-03-01 09:37:21,2019-03-01 09:37:21,0.108s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/span_Search Messages""))",Chrome 72.0.3626.119,,2019-03-01 09:37:21,2019-03-01 09:37:21,0.073s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/input_Search Text_searchMessag""))",Chrome 72.0.3626.119,,2019-03-01 09:37:21,2019-03-01 09:37:22,0.686s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/td_Automation001""))",Chrome 72.0.3626.119,,2019-03-01 09:37:22,2019-03-01 09:37:23,1.008s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/div_MSH.12 Version ID_thumb""))",Chrome 72.0.3626.119,,2019-03-01 09:37:23,2019-03-01 09:37:23,0.070s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/div_M_thumb""))",Chrome 72.0.3626.119,,2019-03-01 09:37:23,2019-03-01 09:37:23,0.094s,PASSED
"click(findTestObject(""Page_Integrations Dashboard/div_Automation001""))",Chrome 72.0.3626.119,,2019-03-01 09:37:23,2019-03-01 09:37:23,0.101s,PASSED
